repo,compte,titre,url,theme,code_theme,type,http,cree,fiche
"ouaisfieu/112","ouaisfieu","⬡ KERN","https://ouaisfieu.github.io/112/","Autres laboratoires","LAB","laboratoire","200","2026-01-06","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-112/"
"ouaisfieu/1test1","ouaisfieu","1test1","https://ouaisfieu.github.io/1test1/","Autres laboratoires","LAB","laboratoire","404","2025-10-17","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-1test1/"
"ouaisfieu/aegis","ouaisfieu","aegis","https://ouaisfieu.github.io/aegis/","Autres laboratoires","LAB","laboratoire","404","2026-01-03","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-aegis/"
"ouaisfieu/alice","ouaisfieu","alice","https://ouaisfieu.github.io/alice/","Autres laboratoires","LAB","laboratoire","404","2025-12-25","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-alice/"
"ouaisfieu/b-b-","ouaisfieu","GROS BOUTON — Mon Univers RG","https://ouaisfieu.github.io/b-b-/","Autres laboratoires","LAB","laboratoire","200","2025-11-25","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-b-b/"
"ouaisfieu/balrog","ouaisfieu","LA RÉSERVE — Ce qui existe déjà mais n'a jamais été reconnu","https://ouaisfieu.github.io/balrog/","Autres laboratoires","LAB","laboratoire","200","2026-01-02","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-balrog/"
"ouaisfieu/biologia","ouaisfieu","biologia","https://ouaisfieu.github.io/biologia/","Autres laboratoires","LAB","laboratoire","404","2025-08-31","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-biologia/"
"ouaisfieu/boot","ouaisfieu","First Boot • Ordi Neuf","https://ouaisfieu.github.io/boot/","Autres laboratoires","LAB","laboratoire","200","2025-11-30","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-boot/"
"ouaisfieu/brol","ouaisfieu","Professional UX Website","https://ouaisfieu.github.io/brol/","Autres laboratoires","LAB","laboratoire","200","2026-03-19","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-brol/"
"ouaisfieu/ccplc","ouaisfieu","CCPLC — Solutions indépendantes","https://ouaisfieu.github.io/ccplc/","Autres laboratoires","LAB","laboratoire","200","2025-12-25","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-ccplc/"
"ouaisfieu/ciaoword","ouaisfieu","ciaoword","https://ouaisfieu.github.io/ciaoword/","Autres laboratoires","LAB","laboratoire","404","2026-01-05","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-ciaoword/"
"ouaisfieu/confiance","ouaisfieu","CCPLC — Logiciels & Systèmes Libres","https://ouaisfieu.github.io/confiance/","Autres laboratoires","LAB","laboratoire","200","2025-12-28","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-confiance/"
"ouaisfieu/copilot","ouaisfieu","Veille Citoyenne Ludifiée — Collecte de données copropriétaire","https://ouaisfieu.github.io/copilot/","Autres laboratoires","LAB","laboratoire","200","2025-12-30","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-copilot/"
"ouaisfieu/duckface-detector","ouaisfieu","duckface-detector","https://ouaisfieu.github.io/duckface-detector/","Autres laboratoires","LAB","laboratoire","404","2025-08-24","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-duckface-detector/"
"ouaisfieu/ecp","ouaisfieu","ECP — Économie Contributive Provisionnée","https://ouaisfieu.github.io/ecp/","Autres laboratoires","LAB","laboratoire","200","2026-01-08","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-ecp/"
"ouaisfieu/fake","ouaisfieu","fake","https://ouaisfieu.github.io/fake/","Autres laboratoires","LAB","laboratoire","200","2025-12-25","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-fake/"
"ouaisfieu/filou","ouaisfieu","PéTAL OS","https://ouaisfieu.github.io/filou/","Autres laboratoires","LAB","laboratoire","200","2025-12-26","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-filou/"
"ouaisfieu/gandalf","ouaisfieu","gandalf","https://ouaisfieu.github.io/gandalf/","Autres laboratoires","LAB","laboratoire","404","2026-01-02","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-gandalf/"
"ouaisfieu/godot","ouaisfieu","TERMINAL v2.4.7","https://ouaisfieu.github.io/godot/","Autres laboratoires","LAB","laboratoire","200","2025-12-25","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-godot/"
"ouaisfieu/goodot","ouaisfieu","Vite + React","https://ouaisfieu.github.io/goodot/","Autres laboratoires","LAB","laboratoire","200","2026-01-04","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-goodot/"
"ouaisfieu/GPTPardi","ouaisfieu","GPTPardi | Le dico dans le vent","https://ouaisfieu.github.io/GPTPardi/","Autres laboratoires","LAB","laboratoire","200","2025-07-06","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-gptpardi/"
"ouaisfieu/info","ouaisfieu","Analyse de l'Écosystème Numérique Bruxellois","https://ouaisfieu.github.io/info/","Autres laboratoires","LAB","laboratoire","200","2026-01-20","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-info/"
"ouaisfieu/jekyll-now","ouaisfieu","ouaisfi.eu — collectif citoyen","https://ouaisfieu.github.io/jekyll-now/","Autres laboratoires","LAB","laboratoire","200","2025-08-15","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-jekyll-now/"
"ouaisfieu/kern","ouaisfieu","KERN — Écosystème Citoyen Unifié","https://ouaisfieu.github.io/kern/","Autres laboratoires","LAB","laboratoire","200","2026-01-05","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-kern/"
"ouaisfieu/lapin","ouaisfieu","BROL 2.0 — Dashbo·o·ard","https://ouaisfieu.github.io/lapin/","Autres laboratoires","LAB","laboratoire","200","2025-12-24","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-lapin/"
"ouaisfieu/letest","ouaisfieu","Gamified Recruitment Skill Simulator","https://ouaisfieu.github.io/letest/","Autres laboratoires","LAB","laboratoire","200","2026-01-04","https://ouaisfieu.github.io/a-propos/atlas/ouaisfieu-letest/"
